sent,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,59,1,3,178,74,352,52,95,1,3,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,655,74,94,922,82,178,923,498,1272,37,1423,3,153,725,48,924,445,4,0,0,0,0,0,0,0
-1,214,154,75,3,273,460,757,97,925,127,1,73,399,3,31,1,140,758,687,1,39,0,0,0,0
1,19,52,40,3,83,25,184,688,49,25,326,83,226,56,543,204,1273,25,52,926,0,0,0,0,0
1,59,3,1004,282,13,227,166,427,10,7,141,257,50,11,382,10,7,0,0,0,0,0,0,0,0
1,689,1,141,461,1,1603,141,282,1821,228,1,1,1,656,852,80,1,0,0,0,0,0,0,0,0
1,99,22,521,10,7,690,78,78,20,13,73,352,1,258,11,258,34,78,0,0,0,0,0,0,0
1,114,22,10,7,25,2,5,27,11,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,11,60,2,5,2,5,65,20,346,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,11,21,2,5,2,5,346,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,383,1,4,115,104,282,25,853,691,17,499,83,327,1159,1,115,42,0,0,0,0,0,0,0,0
1,240,274,1,1,365,560,328,1,29,1,1,462,589,66,9,384,98,179,1005,14,0,0,0,0,0
1,229,57,726,1,188,1604,759,12,100,428,172,23,1006,1,463,145,1007,1160,123,854,54,85,0,0,0
1,6,692,39,50,11,25,2,5,2,5,10,7,21,2,5,2,5,0,0,0,0,0,0,0,0
1,657,283,315,1,7,25,2,5,27,11,60,2,5,2,5,0,0,0,0,0,0,0,0,0,0
1,855,10,7,25,429,2,27,11,107,2,36,34,2,1274,13,20,0,0,0,0,0,0,0,0,0
1,1,230,39,7,25,2,5,2,5,65,20,7,304,856,230,25,2,5,2,5,65,20,0,0,0
1,32,430,9,194,155,156,43,118,74,522,1,185,523,400,857,1161,1,189,39,1,366,1605,1162,4,0
1,477,31,241,347,1606,147,151,477,53,12,74,690,146,0,0,0,0,0,0,0,0,0,0,0,0
1,80,170,464,284,2,54,9,2,54,9,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1008,146,60,1006,382,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,57,45,70,48,544,297,329,100,1089,1,259,275,1275,432,32,38,0,0,0,0,0,0,0
1,1822,1276,101,25,8,401,260,18,9,119,42,107,431,431,59,383,105,0,0,0,0,0,0,0,0
1,10,446,524,330,690,2,5,2,5,10,446,1424,330,60,2,5,2,5,65,20,0,0,0,0,0
1,10,7,25,2,2,258,11,60,2,2,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,7,1163,2,402,4,2,7,215,111,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,216,14,50,11,25,51,316,142,24,21,146,51,142,24,0,0,0,0,0,0,0,0,0,0,0
1,27,11,1607,20,25,2,10,7,25,2,36,65,20,0,0,0,0,0,0,0,0,0,0,0,0
1,27,11,1607,20,25,2,10,7,25,2,36,65,20,0,0,0,0,0,0,0,0,0,0,0,0
1,27,11,1277,20,25,2,146,25,2,36,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1425,44,6,285,35,195,727,100,19,478,99,13,433,135,760,1,761,1090,230,434,170,1,196,1,4
1,3,10,11,60,13,8,24,7,8,24,13,3,4,73,0,0,0,0,0,0,0,0,0,0,0
1,1164,403,18,58,8,525,148,60,51,1823,658,1164,1,858,39,1,61,248,0,0,0,0,0,0,0
1,728,104,561,146,25,2,5,561,217,25,561,44,0,0,0,0,0,0,0,0,0,0,0,0,0
1,589,66,276,479,690,61,1,111,21,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,198,6,261,3,404,23,62,1,4,465,10,11,729,1824,2,2,118,859,462,1,0,0,0,0,0
1,32,1,38,39,218,2,25,218,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,367,120,72,128,136,198,1608,526,147,76,367,14,100,19,427,31,527,53,1091,730,543,204,231,927,0
1,731,446,25,2,5,1825,217,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,148,353,249,146,447,1826,1,205,184,249,262,1278,1826,1279,60,0,0,0,0,0,0,0,0,0,0
1,732,385,10,11,205,316,2,8,10,7,2,8,2,8,0,0,0,0,0,0,0,0,0,0,0
1,10,446,524,330,60,2,5,2,5,10,446,1424,330,2,5,2,5,0,0,0,0,0,0,0,0
1,1,26,263,133,590,405,1,1,54,1,56,590,1,164,20,133,1280,1009,0,0,0,0,0,0,0
