sent,headline,headline_clean
neutral,"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",accord Gran company no plan move production Russia although company grow
neutral,"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",Technopolis plan develop stage area no less square meter order host company work computer technology telecommunication statement say
negative,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .",international electronic industry company Elcoteq lay ten employee Tallinn facility contrary early layoff company contract rank office worker daily Postimees report
positive,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,new production plant company would increase capacity meet expect increase demand would improve use raw material therefore increase production profitability
positive,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",accord company update strategy year Basware target longterm net sale growth range operating profit margin net sale
positive,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,financing ASPOCOMPS GROWTH Aspocomp aggressively pursue growth strategy increasingly focus technologically demanding HDI print circuit board PCBs
positive,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",last quarter Componenta net sale double EURm EURm period year early move zero pretax profit pretax loss EURm
positive,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",third quarter net sale increase EUR mn operate profit EUR mn
positive,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,operate profit rise EUR mn EUR mn corresponding period represent net sale
positive,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",operate profit total EUR mn EUR mn represent net sale
positive,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,TeliaSonera TLSN say offer line strategy increase ownership core business holding would strengthen Eesti Telekom offer customer
positive,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",STORA ENSO NORSKE SKOG MREAL UPMKYMMENE Credit Suisse First Boston CFSB raise fair value share four large nordic forestry group
positive,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",purchase agreement ton gasoline delivery Hamina terminal Finland sign Neste Oil OYj average Platts index September plus eight US dollar per month
positive,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",Finnish Talentum report operating profit increase EUR mn EUR mn net sale total EUR mn EUR mn
positive,"Clothing retail chain Sepp+Æl+Æ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",clothing retail chain Seppl sale increase EUR mn operate profit rise EUR mn EUR mn
positive,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",consolidated net sale increase reach EUR operate profit amount EUR compare loss EUR prior year period
positive,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",foundry division report sale increase EUR mn EUR mn corresponding period sale Machine Shop division increase EUR mn EUR mn corresponding period
positive,"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",HELSINKI AFX share close high lead Nokia announce plan team Sanyo manufacture g handset Nokian Tyres fourthquarter earning report beat analyst expectation dealer say
positive,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",Incap Contract Manufacturing Services Pvt Ltd subsidiary Incap Corporation Finland plan double revenue
positive,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",board director propose dividend EUR per share EUR per share pay
positive,"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",Lifetree found revenue rise average margin late
positive,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .",Filippova trilateral agreement investment construction technology park St Petersburg sign course forum day russian Economy open Helsinki today
positive,"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",MegaFon subscriber base increase million user December market share number customer amount late late accord TeliaSonera estimate
positive,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",net income life insurance double EUR mn EUR mn net income nonlife insurance rise EUR mn EUR mn corresponding period
positive,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),net sale increase EUR EUR pretax profit rise EUR EUR USD
positive,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",net sale surge EUR Teleste say EUR sale come acquisition make
positive,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,Nordea Group operating profit increase percent yearonyear billion euro total revenue percent billion euro
positive,"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",operate profit ninemonth period increase EUR net sale increase EUR compare corresponding period
positive,"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",operate profit ninemonth period increase EUR net sale increase EUR compare corresponding period
positive,"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",operate profit threemonth period increase EUR revenue increase EUR compare corresponding period
positive,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying .",brazilian unit finnish security solution provider FSecure sign new client last year online news source Reseller Web quote division commercial director Vladimir Brand_o say
positive,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",company net profit rise year million euro sale million euro year company say early
positive,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",lithuanian beer market make million liter January rise percent yearearlier figure Lithuanian Brewers Association report cite result member
positive,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",Viking Line cargo revenue increase EUR mn cargo volume increase cargo unit
positive,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",fair value property portfolio double result Kapiteeli acquisition total EUR million
